Title,Authors,Journal,Year,nSamples,nPositive,Prevalence,HostFamily,HostGenus,Hosts,nSpecies,VirusGenus,VirusSubgenus,VirusStrain,DetectionType,StudyType,DetectionMethod,DetectionMethodSpecific,PCRMethod,GeneTarget,GeneTargetDetailed,Tissue,Sample,Country,State,SamplingSite,Latitude,Longitude,nSamplingTrips,YearDiscrete,MonthsDiscrete,StartYear,StartMonth,EndYear,EndMonth,Summer,Fall,Winter,Spring,TerminalSampling
alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats,Goffard et al.,Viruses,2015,35,0,0,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,1,genus not specified,NA,NA,single,cross-sectional,PCR,nested PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,France,Bourges,Colony 4,47.04416667,2.560555556,NA,2014,July,NA,NA,NA,NA,1,0,0,0,No
alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats,Goffard et al.,Viruses,2015,10,0,0,Vespertilionidae,Myotis,Myotis myotis,1,genus not specified,NA,NA,single,cross-sectional,PCR,nested PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,France,Bourges,Colony 5,47.07333333,2.522777778,NA,2014,July,NA,NA,NA,NA,1,0,0,0,No
alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats,Goffard et al.,Viruses,2015,10,0,0,Vespertilionidae,Eptesicus,Eptesicus serotinus,1,genus not specified,NA,NA,single,cross-sectional,PCR,nested PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,France,Bourges,Colony 6,46.8575,2.316388889,NA,2014,July,NA,NA,NA,NA,1,0,0,0,No
alphacoronaviruses detected in french bats are phylogeographically linked to coronaviruses of european bats,Goffard et al.,Viruses,2015,24,0,0,Vespertilionidae,Barbastella,Barbastella barbastellus,1,genus not specified,NA,NA,single,cross-sectional,PCR,nested PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",faeces,France,Bourges,Colony 7,46.82444444,2.389166667,NA,2014,August,NA,NA,NA,NA,1,0,0,0,No
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,11,0,0,Vespertilionidae,Myotis,Myotis lucifugus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 1,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 2,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,29,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 3,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 3,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,5,1,0.2,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,20,0,0,Vespertilionidae,Lasiurus,Lasiurus cinereus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis ciliolabrum,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,1,0.142857,Vespertilionidae,Myotis,Myotis evotis,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,16,5,0.3125,Vespertilionidae,Myotis,Myotis volans,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,34,2,0.058824,Vespertilionidae,Myotis,Myotis volans,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2008,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,26,5,0.192308,Vespertilionidae,Myotis,Myotis volans,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 4,NA,NA,NA,2009,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,11,0,0,Vespertilionidae,Antrozous,Antrozous pallidus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,4,4,1,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2008,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,14,4,0.285714,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,alphacoronavirus,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2009,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Lasiurus,Lasiurus cinereus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Myotis,Myotis thysanodes,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,13,0,0,Vespertilionidae,Myotis,Myotis yumanensis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Vespertilionidae,Parastrellus,Parastrellus hesperus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 5,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,9,0,0,Vespertilionidae,Myotis,Myotis occultus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 6,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis yumanensis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 7,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Lasiurus,Lasiurus cinereus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis californicus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis ciliolabrum,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis evotis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis thysanodes,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,4,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 8,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,18,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Euderma,Euderma maculatum,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Vespertilionidae,Lasiurus,Lasiurus cinereus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Vespertilionidae,Myotis,Myotis californicus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,19,0,0,Vespertilionidae,Myotis,Myotis ciliolabrum,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,22,0,0,Vespertilionidae,Myotis,Myotis evotis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,4,0,0,Vespertilionidae,Myotis,Myotis thysanodes,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,22,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Myotis,Myotis yumanensis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,8,0,0,Vespertilionidae,Parastrellus,Parastrellus hesperus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,13,0,0,Molossidae,Tadarida,Tadarida brasiliensis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 9,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,8,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,13,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Vespertilionidae,Myotis,Myotis evotis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Vespertilionidae,Myotis,Myotis occultus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,23,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,1,0,0,Vespertilionidae,Myotis,Myotis yumanensis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 10,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 11,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,7,0,0,Vespertilionidae,Lasiurus,Lasiurus cinereus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 11,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 11,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,11,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 11,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Vespertilionidae,Antrozous,Antrozous pallidus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 12,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Corynorhinus,Corynorhinus townsendii,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 12,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Vespertilionidae,Eptesicus,Eptesicus fuscus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,2,0,0,Vespertilionidae,Euderma,Euderma maculatum,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,3,0,0,Vespertilionidae,Lasionycteris,Lasionycteris noctivagans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Vespertilionidae,Myotis,Myotis evotis,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,6,0,0,Vespertilionidae,Myotis,Myotis occultus,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
"alphacoronaviruses in new world bats: prevalence, persistence, phylogeny, and potential for interaction with humans",Osborne et al.,Plos One,2011,4,0,0,Vespertilionidae,Myotis,Myotis volans,1,genus not specified,NA,NA,single,cross-sectional,PCR,hemi-nested RT-PCR,multiple,RdRp,RdRp,"faecal, rectal, or anal",pooled,United States of America,Colorado,Site 13,NA,NA,NA,2007,NA,NA,NA,NA,NA,1,0,0,0,Yes
